mean,Date,year,month,day
138.47791666666674,2019-05-22,2019,5,22
127.7708333333333,2019-05-23,2019,5,23
116.78083333333336,2019-05-24,2019,5,24
117.77833333333332,2019-05-25,2019,5,25
111.10166666666665,2019-05-26,2019,5,26
135.73083333333335,2019-05-27,2019,5,27
134.61708333333334,2019-05-28,2019,5,28
125.18583333333338,2019-05-29,2019,5,29
135.80416666666667,2019-05-30,2019,5,30
134.57749999999993,2019-05-31,2019,5,31
129.00874999999996,2019-06-01,2019,6,1
101.3933333333333,2019-06-02,2019,6,2
105.44125000000003,2019-06-03,2019,6,3
124.78750000000004,2019-06-04,2019,6,4
153.48999999999992,2019-06-05,2019,6,5
142.37499999999997,2019-06-06,2019,6,6
123.25624999999998,2019-06-07,2019,6,7
111.58708333333333,2019-06-08,2019,6,8
102.03458333333333,2019-06-09,2019,6,9
116.1108333333333,2019-06-10,2019,6,10
120.63666666666667,2019-06-11,2019,6,11
124.08541666666667,2019-06-12,2019,6,12
88.42208333333338,2019-06-13,2019,6,13
85.01208333333334,2019-06-14,2019,6,14
85.57333333333332,2019-06-15,2019,6,15
81.71499999999999,2019-06-16,2019,6,16
96.93083333333333,2019-06-17,2019,6,17
126.87833333333337,2019-06-18,2019,6,18
136.98500000000007,2019-06-19,2019,6,19
118.87500000000001,2019-06-20,2019,6,20
125.09666666666664,2019-06-21,2019,6,21
98.2425,2019-06-22,2019,6,22
96.2941666666667,2019-06-23,2019,6,23
91.34083333333331,2019-06-24,2019,6,24
104.64750000000002,2019-06-25,2019,6,25
111.49333333333333,2019-06-26,2019,6,26
125.46750000000004,2019-06-27,2019,6,27
127.60166666666663,2019-06-28,2019,6,28
126.71625000000002,2019-06-29,2019,6,29
117.02125,2019-06-30,2019,6,30
122.48458333333333,2019-07-01,2019,7,1
134.42583333333332,2019-07-02,2019,7,2
150.81333333333333,2019-07-03,2019,7,3
143.3083333333334,2019-07-04,2019,7,4
127.89750000000002,2019-07-05,2019,7,5
114.34083333333331,2019-07-06,2019,7,6
106.47083333333335,2019-07-07,2019,7,7
108.96458333333332,2019-07-08,2019,7,8
105.48833333333333,2019-07-09,2019,7,9
122.73000000000003,2019-07-10,2019,7,10
116.80708333333338,2019-07-11,2019,7,11
130.00416666666663,2019-07-12,2019,7,12
124.06083333333333,2019-07-13,2019,7,13
118.135,2019-07-14,2019,7,14
129.37208333333334,2019-07-15,2019,7,15
130.53916666666672,2019-07-16,2019,7,16
118.73583333333336,2019-07-17,2019,7,17
131.43666666666667,2019-07-18,2019,7,18
115.72333333333329,2019-07-19,2019,7,19
112.69500000000001,2019-07-20,2019,7,20
124.16624999999999,2019-07-21,2019,7,21
129.9441666666667,2019-07-22,2019,7,22
119.51499999999999,2019-07-23,2019,7,23
119.48333333333336,2019-07-24,2019,7,24
124.38083333333331,2019-07-25,2019,7,25
118.05916666666666,2019-07-26,2019,7,26
113.00833333333331,2019-07-27,2019,7,27
106.13500000000003,2019-07-28,2019,7,28
115.06833333333334,2019-07-29,2019,7,29
131.0233333333333,2019-07-30,2019,7,30
127.03999999999998,2019-07-31,2019,7,31
134.97916666666663,2019-08-01,2019,8,1
135.70583333333332,2019-08-02,2019,8,2
129.12791666666664,2019-08-03,2019,8,3
122.36375,2019-08-04,2019,8,4
129.25083333333333,2019-08-05,2019,8,5
153.40833333333327,2019-08-06,2019,8,6
150.42583333333332,2019-08-07,2019,8,7
113.21249999999998,2019-08-08,2019,8,8
150.47875000000002,2019-08-09,2019,8,9
138.31833333333338,2019-08-10,2019,8,10
132.82916666666662,2019-08-11,2019,8,11
153.21791666666664,2019-08-12,2019,8,12
196.61333333333332,2019-08-13,2019,8,13
213.58249999999998,2019-08-14,2019,8,14
164.55416666666673,2019-08-15,2019,8,15
144.7391666666667,2019-08-16,2019,8,16
133.77166666666668,2019-08-17,2019,8,17
122.71624999999999,2019-08-18,2019,8,18
123.67333333333336,2019-08-19,2019,8,19
110.85250000000002,2019-08-20,2019,8,20
116.74249999999999,2019-08-21,2019,8,21
116.2725,2019-08-22,2019,8,22
130.04291666666663,2019-08-23,2019,8,23
104.64,2019-08-24,2019,8,24
116.92166666666672,2019-08-25,2019,8,25
165.01916666666665,2019-08-26,2019,8,26
194.08416666666668,2019-08-27,2019,8,27
185.1383333333334,2019-08-28,2019,8,28
198.03125,2019-08-29,2019,8,29
191.34499999999994,2019-08-30,2019,8,30
192.94750000000008,2019-08-31,2019,8,31
